asset_uuid,title,identifier,publisher,manifest_uri
R2bYDfbUTPjdlGanka17MazD,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/R2bYDfbUTPjdlGanka17MazD.json
y2RvojUTQAXVFVZqYXnssuxd,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/y2RvojUTQAXVFVZqYXnssuxd.json
mu8oM9CVcFVtjMNdigbE74vj,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/mu8oM9CVcFVtjMNdigbE74vj.json
ipJLiUgMN7WZPGQnWUjpB2ir,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/ipJLiUgMN7WZPGQnWUjpB2ir.json
X1NG6Eg6aRWPZDO8dKYP7z5g,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/X1NG6Eg6aRWPZDO8dKYP7z5g.json
XcjkOUTKTBOIcEUcVmhtV275,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/XcjkOUTKTBOIcEUcVmhtV275.json
n2hMgrAgwHKPLAUsfWWesXnR,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/n2hMgrAgwHKPLAUsfWWesXnR.json
x2hn4iHtuZWJ8eiZlQR5lDw6,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/x2hn4iHtuZWJ8eiZlQR5lDw6.json
W1VQhORmQiwIQPGEWhmmunbb,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/W1VQhORmQiwIQPGEWhmmunbb.json
vpVkR9TB8j5lEoNHRGd00lmc,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/vpVkR9TB8j5lEoNHRGd00lmc.json
s1JMkH9LZqUCaXSsiS9AmHfD,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/s1JMkH9LZqUCaXSsiS9AmHfD.json
YRHTpHWLGMOfGfdhaV5STLSQ,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/YRHTpHWLGMOfGfdhaV5STLSQ.json
M28UHWkBNbiYPcNSIouYNxJK,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/M28UHWkBNbiYPcNSIouYNxJK.json
V1JVSeKIgVLMcFMgR51NJh0u,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/V1JVSeKIgVLMcFMgR51NJh0u.json
Y1dEMsaQWIe1DfBXiIgse02O,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/Y1dEMsaQWIe1DfBXiIgse02O.json
OBofjVTVmcnMIjQYKXBX7mpr,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/OBofjVTVmcnMIjQYKXBX7mpr.json
saNTDUf5UaSphMXX7g4dYOBl,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/saNTDUf5UaSphMXX7g4dYOBl.json
T2KoWFScGlswfaPdMvT5Tk9i,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/T2KoWFScGlswfaPdMvT5Tk9i.json
VZU4MCFc5QVTWY75hSjLxyyu,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/VZU4MCFc5QVTWY75hSjLxyyu.json
S2L5iLWcrKVVGYR5IhwSLfNd,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/S2L5iLWcrKVVGYR5IhwSLfNd.json
M1lNUfWZWncMSoPfbYLPXgd7,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/M1lNUfWZWncMSoPfbYLPXgd7.json
cUPURFUQQpopUJtMtdOErEtI,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/cUPURFUQQpopUJtMtdOErEtI.json
RhPY8WcQYHUnqGFhNFNuR4RD,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/RhPY8WcQYHUnqGFhNFNuR4RD.json
dfoqN8a8fOcZc6TiF5ReacmA,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/dfoqN8a8fOcZc6TiF5ReacmA.json
jOQWbZpAQQWpHLQOQFXv8zxB,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/jOQWbZpAQQWpHLQOQFXv8zxB.json
q1SVHg3WPAZiGOUPJN6NdHgf,"de Ganay manuscript, kopie van het theoretisch notitieboek van Rubens",RH.LBI.2012.004,Rubenshuis,https://bretelemens.github.io/IIIF-manifest-samples/001-manifest-set/rubenshuis/manifests/q1SVHg3WPAZiGOUPJN6NdHgf.json
